,university,campus,from suburb,distance
0,La Trobe University,Main,CBD,12.615053095770337
1,La Trobe University,Main,EAST MELBOURNE,12.115321934990721
2,La Trobe University,Main,WEST MELBOURNE,13.394506970110319
3,La Trobe University,Main,SOUTHBANK,13.643456773303692
4,La Trobe University,Main,DOCKLANDS,13.727728466482477
5,La Trobe University,Main,FOOTSCRAY,15.640862257938728
6,La Trobe University,Main,SEDDON,16.53277223105325
7,La Trobe University,Main,WEST FOOTSCRAY,16.94665329430172
8,La Trobe University,Main,YARRAVILLE,17.440354752294486
9,La Trobe University,Main,NEWPORT,19.83427401811612
10,La Trobe University,Main,SPOTSWOOD,18.731729739078393
11,La Trobe University,Main,WILLIAMSTOWN,20.158884502241257
12,La Trobe University,Main,ALTONA,25.260867515070338
13,La Trobe University,Main,SUNSHINE,21.823133165737026
14,La Trobe University,Main,ST ALBANS,21.670548708685086
15,La Trobe University,Main,DEER PARK,24.366622953986592
16,La Trobe University,Main,HOPPERS CROSSING,35.35039904086163
17,La Trobe University,Main,WERRIBEE,39.742653818152974
18,La Trobe University,Main,FLEMINGTON,12.642289456196107
19,La Trobe University,Main,KENSINGTON,13.218965643583342
20,La Trobe University,Main,ASCOT VALE,12.414742904994563
21,La Trobe University,Main,KEILOR EAST,21.840677378049655
22,La Trobe University,Main,AVONDALE HEIGHTS,20.274167375660284
23,La Trobe University,Main,SYDENHAM,24.60637768451857
24,La Trobe University,Main,MOONEE PONDS,12.190760235994182
25,La Trobe University,Main,ESSENDON,11.853375854693466
26,La Trobe University,Main,GLADSTONE PARK,14.404984001476471
27,La Trobe University,Main,TULLAMARINE,14.536592230532722
28,La Trobe University,Main,PASCOE VALE,9.239289912791689
29,La Trobe University,Main,PASCOE VALE SOUTH,8.930932258867958
30,La Trobe University,Main,GLENROY,11.307860926428916
31,La Trobe University,Main,OAK PARK,10.852867047051086
32,La Trobe University,Main,BROADMEADOWS,11.492321623081601
33,La Trobe University,Main,NORTH MELBOURNE,21.06978567117314
34,La Trobe University,Main,PARKVILLE,11.576145304756192
35,La Trobe University,Main,CARLTON,9.89866551970783
36,La Trobe University,Main,CARLTON NORTH,9.89866551970783
37,La Trobe University,Main,BRUNSWICK,10.244177100872694
38,La Trobe University,Main,COBURG,7.372983138122224
39,La Trobe University,Main,COBURG NORTH,6.481361392370003
40,La Trobe University,Main,FAWKNER,13.831126064764561
41,La Trobe University,Main,CRAIGIEBURN,15.91461636115481
42,La Trobe University,Main,ROXBURGH PARK,13.215800044561302
43,La Trobe University,Main,FITZROY,10.909655418953875
44,La Trobe University,Main,COLLINGWOOD,10.636130484867222
45,La Trobe University,Main,ABBOTSFORD,10.216123185287588
46,La Trobe University,Main,CLIFTON HILL,9.106438080352193
47,La Trobe University,Main,FITZROY NORTH,9.00869833648711
48,La Trobe University,Main,NORTHCOTE,7.239889196540782
49,La Trobe University,Main,THORNBURY,5.775338825273282
50,La Trobe University,Main,PRESTON,4.4696787611555475
