,university,campus,from suburb,distance
0,La Trobe University,Melboune,CBD,12.615
1,La Trobe University,Melboune,EAST MELBOURNE,12.115
2,La Trobe University,Melboune,WEST MELBOURNE,13.395
3,La Trobe University,Melboune,SOUTHBANK,13.643
4,La Trobe University,Melboune,DOCKLANDS,13.728
5,La Trobe University,Melboune,FOOTSCRAY,15.641
6,La Trobe University,Melboune,SEDDON,16.533
7,La Trobe University,Melboune,WEST FOOTSCRAY,16.947
8,La Trobe University,Melboune,YARRAVILLE,17.44
9,La Trobe University,Melboune,NEWPORT,19.834
10,La Trobe University,Melboune,SPOTSWOOD,18.732
11,La Trobe University,Melboune,WILLIAMSTOWN,20.159
12,La Trobe University,Melboune,ALTONA,25.261
13,La Trobe University,Melboune,SUNSHINE,21.823
14,La Trobe University,Melboune,ST ALBANS,21.671
15,La Trobe University,Melboune,DEER PARK,24.367
16,La Trobe University,Melboune,HOPPERS CROSSING,35.35
17,La Trobe University,Melboune,WERRIBEE,39.743
18,La Trobe University,Melboune,FLEMINGTON,12.642
19,La Trobe University,Melboune,KENSINGTON,13.219
20,La Trobe University,Melboune,ASCOT VALE,12.415
21,La Trobe University,Melboune,KEILOR EAST,21.841
22,La Trobe University,Melboune,AVONDALE HEIGHTS,20.274
23,La Trobe University,Melboune,SYDENHAM,24.606
24,La Trobe University,Melboune,MOONEE PONDS,12.191
25,La Trobe University,Melboune,ESSENDON,11.853
26,La Trobe University,Melboune,GLADSTONE PARK,14.405
27,La Trobe University,Melboune,TULLAMARINE,14.537
28,La Trobe University,Melboune,PASCOE VALE,9.239
29,La Trobe University,Melboune,PASCOE VALE SOUTH,8.931
30,La Trobe University,Melboune,GLENROY,11.308
31,La Trobe University,Melboune,OAK PARK,10.853
32,La Trobe University,Melboune,BROADMEADOWS,11.492
33,La Trobe University,Melboune,NORTH MELBOURNE,21.07
34,La Trobe University,Melboune,PARKVILLE,11.576
35,La Trobe University,Melboune,CARLTON,9.899
36,La Trobe University,Melboune,CARLTON NORTH,9.899
37,La Trobe University,Melboune,BRUNSWICK,10.244
38,La Trobe University,Melboune,COBURG,7.373
39,La Trobe University,Melboune,COBURG NORTH,6.481
40,La Trobe University,Melboune,FAWKNER,13.831
41,La Trobe University,Melboune,CRAIGIEBURN,15.915
42,La Trobe University,Melboune,ROXBURGH PARK,13.216
43,La Trobe University,Melboune,FITZROY,10.91
44,La Trobe University,Melboune,COLLINGWOOD,10.636
45,La Trobe University,Melboune,ABBOTSFORD,10.216
46,La Trobe University,Melboune,CLIFTON HILL,9.106
47,La Trobe University,Melboune,FITZROY NORTH,9.009
48,La Trobe University,Melboune,NORTHCOTE,7.24
49,La Trobe University,Melboune,THORNBURY,5.775
50,La Trobe University,Melboune,PRESTON,4.47
51,La Trobe University,Melboune,RESERVOIR,3.189
52,La Trobe University,Melboune,THOMASTOWN,4.81
53,La Trobe University,Melboune,LALOR,6.137
54,La Trobe University,Melboune,EPPING,9.244
55,La Trobe University,Melboune,ALPHINGTON,7.177
56,La Trobe University,Melboune,FAIRFIELD,7.019
57,La Trobe University,Melboune,IVANHOE,5.862
58,La Trobe University,Melboune,IVANHOE EAST,6.376
59,La Trobe University,Melboune,HEIDELBERG WEST,3.615
60,La Trobe University,Melboune,MILL PARK,5.673
61,La Trobe University,Melboune,BUNDOORA,3.076
62,La Trobe University,Melboune,HEIDELBERG,4.86
63,La Trobe University,Melboune,GREENSBOROUGH,5.446
64,La Trobe University,Melboune,MONTMORENCY,6.905
65,La Trobe University,Melboune,ELTHAM,9.283
66,La Trobe University,Melboune,RESEARCH,12.195
67,La Trobe University,Melboune,HURSTBRIDGE,15.688
68,La Trobe University,Melboune,KEW,9.062
