postcode,Suburb,lat,lon,Food Services,Total_businesses,convenient_level,food_service_level,Region,Average_per_person,House_rent
3000,CBD,-37.814563,144.970267,2125,37323,5,5,Inner Melbourne,294,
3002,EAST MELBOURNE,-37.81664,144.987811,48,1433,3,2,Inner Melbourne,288,
3003,WEST MELBOURNE,-37.806255,144.941123,5,171,1,1,Inner Melbourne,260,233
3006,SOUTHBANK,-37.823258,144.965926,137,2751,4,4,Inner Melbourne,289,
3008,DOCKLANDS,-37.814719,144.948039,148,2004,3,4,Inner Melbourne,308,333
3011,FOOTSCRAY,-37.79977,144.899587,144,1841,3,4,Outer Western Melbourne,191,161
3011,SEDDON,-37.808769,144.895486,36,603,1,2,Outer Western Melbourne,187,181
3012,WEST FOOTSCRAY,-37.797701,144.879924,41,998,2,2,Outer Western Melbourne,177,140
3013,YARRAVILLE,-37.816178,144.889774,72,1256,2,3,Outer Western Melbourne,187,181
3015,NEWPORT,-37.842477,144.883145,56,1285,3,3,Outer Western Melbourne,178,172
3015,SPOTSWOOD,-37.82967,144.885078,,,3,3,Outer Western Melbourne,178,172
3016,WILLIAMSTOWN,-37.856902,144.897698,104,2041,3,3,Outer Western Melbourne,196,212
3018,ALTONA,-37.869275,144.830286,51,1109,2,2,Outer Western Melbourne,172,127
3020,SUNSHINE,-37.79983,144.81845,44,922,2,2,Outer Western Melbourne,155,117
3021,ST ALBANS,-37.745063,144.799626,72,2057,3,3,Outer Western Melbourne,155,117
3023,DEER PARK,-37.770312,144.77472,75,1707,3,3,Outer Western Melbourne,155,117
3029,HOPPERS CROSSING,-37.882636,144.700297,79,2427,4,3,Outer Western Melbourne,152,117
3030,WERRIBEE,-37.903337,144.657731,102,2955,4,3,Outer Western Melbourne,152,117
3031,FLEMINGTON,-37.788375,144.931472,32,674,2,2,Inner Melbourne,205,199
3031,KENSINGTON,-37.794333,144.929217,51,994,2,2,Inner Melbourne,205,199
3032,ASCOT VALE,-37.77583,144.923377,52,1186,2,3,North Western Melbourne,200,188
3033,KEILOR EAST,-37.736264,144.796336,57,1782,3,3,Outer Western Melbourne,199,142
3034,AVONDALE HEIGHTS,-37.742284,144.81515,,,3,3,Outer Western Melbourne,199,142
3037,SYDENHAM,-37.70004,144.764617,26,741,2,2,Outer Western Melbourne,172,128
3039,MOONEE PONDS,-37.765707,144.919163,102,1795,3,3,North Western Melbourne,200,188
3040,ESSENDON,-37.754973,144.917407,313,6686,4,4,North Western Melbourne,190,153
3043,GLADSTONE PARK,-37.68861,144.883628,51,1121,2,2,North Western Melbourne,167,126
3043,TULLAMARINE,-37.68656,144.882698,25,725,2,2,North Western Melbourne,167,126
3044,PASCOE VALE,-37.727568,144.939122,59,1530,3,3,North Western Melbourne,191,150
3044,PASCOE VALE SOUTH,-37.739198,144.945722,22,685,2,2,North Western Melbourne,170,175
3046,GLENROY,-37.704581,144.915758,54,1411,3,3,North Western Melbourne,180,133
3046,OAK PARK,-37.71817,144.919959,,,3,3,North Western Melbourne,180,133
3047,BROADMEADOWS,-37.680792,144.921009,28,833,2,2,North Western Melbourne,170,119
3051,NORTH MELBOURNE,-37.905996,145.056254,180,2918,4,4,Inner Melbourne,260,233
3052,PARKVILLE,-37.788531,144.947731,34,614,1,2,Inner Melbourne,260,260
3053,CARLTON,-37.784337,144.969747,185,2401,4,4,Inner Melbourne,260,260
3054,CARLTON NORTH,-37.784337,144.969747,40,897,2,2,Inner Melbourne,243,249
3056,BRUNSWICK,-37.764829,144.943778,176,2759,4,4,North Western Melbourne,225,221
3058,COBURG,-37.743188,144.966279,112,2187,3,3,North Western Melbourne,199,175
3058,COBURG NORTH,-37.730842,144.971699,28,1054,2,2,North Western Melbourne,191,150
3060,FAWKNER,-37.759823,144.89571,31,994,2,2,North Western Melbourne,180,133
