id,university,campus,suburb,distance
0,La Trobe University,Melbourne,CBD,12.615
1,La Trobe University,Melbourne,EAST MELBOURNE,12.115
2,La Trobe University,Melbourne,WEST MELBOURNE,13.395
3,La Trobe University,Melbourne,SOUTHBANK,13.643
4,La Trobe University,Melbourne,DOCKLANDS,13.728
5,La Trobe University,Melbourne,FOOTSCRAY,15.641
6,La Trobe University,Melbourne,SEDDON,16.533
7,La Trobe University,Melbourne,WEST FOOTSCRAY,16.947
8,La Trobe University,Melbourne,YARRAVILLE,17.44
9,La Trobe University,Melbourne,NEWPORT,19.834
10,La Trobe University,Melbourne,SPOTSWOOD,18.732
11,La Trobe University,Melbourne,WILLIAMSTOWN,20.159
12,La Trobe University,Melbourne,ALTONA,25.261
13,La Trobe University,Melbourne,SUNSHINE,21.823
14,La Trobe University,Melbourne,ST ALBANS,21.671
15,La Trobe University,Melbourne,DEER PARK,24.367
16,La Trobe University,Melbourne,HOPPERS CROSSING,35.35
17,La Trobe University,Melbourne,WERRIBEE,39.743
18,La Trobe University,Melbourne,FLEMINGTON,12.642
19,La Trobe University,Melbourne,KENSINGTON,13.219
20,La Trobe University,Melbourne,ASCOT VALE,12.415
21,La Trobe University,Melbourne,KEILOR EAST,21.841
22,La Trobe University,Melbourne,AVONDALE HEIGHTS,20.274
23,La Trobe University,Melbourne,SYDENHAM,24.606
24,La Trobe University,Melbourne,MOONEE PONDS,12.191
25,La Trobe University,Melbourne,ESSENDON,11.853
26,La Trobe University,Melbourne,GLADSTONE PARK,14.405
27,La Trobe University,Melbourne,TULLAMARINE,14.537
28,La Trobe University,Melbourne,PASCOE VALE,9.239
29,La Trobe University,Melbourne,PASCOE VALE SOUTH,8.931
30,La Trobe University,Melbourne,GLENROY,11.308
31,La Trobe University,Melbourne,OAK PARK,10.853
32,La Trobe University,Melbourne,BROADMEADOWS,11.492
33,La Trobe University,Melbourne,NORTH MELBOURNE,21.07
34,La Trobe University,Melbourne,PARKVILLE,11.576
35,La Trobe University,Melbourne,CARLTON,9.899
36,La Trobe University,Melbourne,CARLTON NORTH,9.899
37,La Trobe University,Melbourne,BRUNSWICK,10.244
38,La Trobe University,Melbourne,COBURG,7.373
39,La Trobe University,Melbourne,COBURG NORTH,6.481
40,La Trobe University,Melbourne,FAWKNER,13.831
41,La Trobe University,Melbourne,CRAIGIEBURN,15.915
42,La Trobe University,Melbourne,ROXBURGH PARK,13.216
43,La Trobe University,Melbourne,FITZROY,10.91
44,La Trobe University,Melbourne,COLLINGWOOD,10.636
45,La Trobe University,Melbourne,ABBOTSFORD,10.216
46,La Trobe University,Melbourne,CLIFTON HILL,9.106
47,La Trobe University,Melbourne,FITZROY NORTH,9.009
48,La Trobe University,Melbourne,NORTHCOTE,7.24
49,La Trobe University,Melbourne,THORNBURY,5.775
50,La Trobe University,Melbourne,PRESTON,4.47
51,La Trobe University,Melbourne,RESERVOIR,3.189
52,La Trobe University,Melbourne,THOMASTOWN,4.81
53,La Trobe University,Melbourne,LALOR,6.137
54,La Trobe University,Melbourne,EPPING,9.244
55,La Trobe University,Melbourne,ALPHINGTON,7.177
56,La Trobe University,Melbourne,FAIRFIELD,7.019
57,La Trobe University,Melbourne,IVANHOE,5.862
58,La Trobe University,Melbourne,IVANHOE EAST,6.376
59,La Trobe University,Melbourne,HEIDELBERG WEST,3.615
60,La Trobe University,Melbourne,MILL PARK,5.673
61,La Trobe University,Melbourne,BUNDOORA,3.076
62,La Trobe University,Melbourne,HEIDELBERG,4.86
63,La Trobe University,Melbourne,GREENSBOROUGH,5.446
64,La Trobe University,Melbourne,MONTMORENCY,6.905
