postcode,Suburb,lat,lon,Region,Average_per_person,website
3000,CBD,-37.814563,144.970267,Inner Melbourne,294,"https://www.google.com/maps/place/CBD,+Melbourne+VIC+3000/@-37.8141457,144.9586522,14z/data=!4m5!3m4!1s0x6ad642caf37771c5:0x834e664d24dced61!8m2!3d-37.8123652!4d144.9623382"
3002,EAST MELBOURNE,-37.81664,144.987811,Inner Melbourne,288,"https://www.google.com/maps/place/East+Melbourne+VIC+3002/@-37.815423,144.972592,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c1bc526ecf:0x5045675218ce800!8m2!3d-37.813!4d144.985"
3003,WEST MELBOURNE,-37.806255,144.941123,Inner Melbourne,260,"https://www.google.com/maps/place/West+Melbourne+VIC+3003/@-37.8105372,144.9134409,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad642d8348ddb79:0x5045675218ce7f0!8m2!3d-37.808!4d144.927"
3006,SOUTHBANK,-37.823258,144.965926,Inner Melbourne,289,"https://www.google.com/maps/place/Southbank+VIC+3006/@-37.8253632,144.9504107,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d450a8be10f:0x5045675218cfec0!8m2!3d-37.829!4d144.957"
3008,DOCKLANDS,-37.814719,144.948039,Inner Melbourne,308,"https://www.google.com/maps/place/Docklands+VIC+3008/@-37.8181345,144.9205144,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d674616d46f:0x5045675218cfdf0!8m2!3d-37.817!4d144.946"
3011,FOOTSCRAY,-37.79977,144.899587,Outer Western Melbourne,191,"https://www.google.com/maps/place/Footscray+VIC+3011/@-37.8008278,144.8803823,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d8d9fc4c127:0x5045675218ce740!8m2!3d-37.798!4d144.899"
3011,SEDDON,-37.808769,144.895486,Outer Western Melbourne,187,"https://www.google.com/maps/place/Seddon+VIC+3011/@-37.8064624,144.8878186,16z/data=!3m1!4b1!4m5!3m4!1s0x6ad6675f7c5d8e51:0x5045675218cf870!8m2!3d-37.8055831!4d144.891002"
3012,WEST FOOTSCRAY,-37.797701,144.879924,Outer Western Melbourne,177,"https://www.google.com/maps/place/West+Footscray+VIC+3012/@-37.8015942,144.8557539,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad65dff08ea0be9:0x5045675218cd7c0!8m2!3d-37.8020576!4d144.8703715"
3013,YARRAVILLE,-37.816178,144.889774,Outer Western Melbourne,187,"https://www.google.com/maps/place/Yarraville+VIC+3013/@-37.8015942,144.8557539,14z/data=!4m5!3m4!1s0x6ad66748d8e0dbbd:0x5045675218cd8b0!8m2!3d-37.817!4d144.89"
3015,NEWPORT,-37.842477,144.883145,Outer Western Melbourne,178,"https://www.google.com/maps/place/Newport+VIC+3015/@-37.8454922,144.8651726,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad66770228a334b:0x5045675218ce890!8m2!3d-37.842!4d144.884"
3015,SPOTSWOOD,-37.82967,144.885078,Outer Western Melbourne,178,"https://www.google.com/maps/place/Spotswood+VIC+3015/@-37.830159,144.8687795,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad6673a4f947235:0x5045675218ce820!8m2!3d-37.831!4d144.887"
3016,WILLIAMSTOWN,-37.856902,144.897698,Outer Western Melbourne,196,"https://www.google.com/maps/place/Williamstown+VIC+3016/@-37.830159,144.8687795,14z/data=!4m5!3m4!1s0x6ad666549e99d41d:0x5045675218ce910!8m2!3d-37.861!4d144.885"
3018,ALTONA,-37.869275,144.830286,Outer Western Melbourne,172,"https://www.google.com/maps/place/Altona+VIC+3018/@-37.8534105,144.3502536,10.02z/data=!4m5!3m4!1s0x6ad6619dc1713221:0x5045675218cda70!8m2!3d-37.868!4d144.83"
3020,SUNSHINE,-37.79983,144.81845,Outer Western Melbourne,155,"https://www.google.com/maps/place/Sunshine+VIC+3020/@-37.8534105,144.3502536,10.02z/data=!4m5!3m4!1s0x6ad66080e62d2e61:0x5045675218cd4e0!8m2!3d-37.781!4d144.832"
3021,ST ALBANS,-37.745063,144.799626,Outer Western Melbourne,155,"https://www.google.com/maps/place/St+Albans+VIC+3021/@-37.7897123,144.8136966,14z/data=!4m5!3m4!1s0x6ad65f984f5edb83:0x5045675218cd3b0!8m2!3d-37.736111!4d144.803889"
3023,DEER PARK,-37.770312,144.77472,Outer Western Melbourne,155,"https://www.google.com/maps/place/Deer+Park+VIC+3023/@-37.7479658,144.7706848,13z/data=!4m5!3m4!1s0x6ad68ab2b3c67947:0x5045675218cd500!8m2!3d-37.763!4d144.767"
3029,HOPPERS CROSSING,-37.882636,144.700297,Outer Western Melbourne,152,"https://www.google.com/maps/place/Deer+Park+VIC+3023/@-37.7670331,144.7575212,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad68ab2b3c67947:0x5045675218cd500!8m2!3d-37.763!4d144.767"
3030,WERRIBEE,-37.903337,144.657731,Outer Western Melbourne,152,"https://www.google.com/maps/place/Werribee+VIC+3030/@-37.7670331,144.7575212,14z/data=!4m5!3m4!1s0x6ad6850d13023053:0x5045675218ce940!8m2!3d-37.9!4d144.664"
3031,FLEMINGTON,-37.788375,144.931472,Inner Melbourne,205,"https://www.google.com/maps/place/Flemington+VIC+3031/@-37.7872716,144.9039221,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d06677ef7c7:0x5045675218cd750!8m2!3d-37.785!4d144.928"
3031,KENSINGTON,-37.794333,144.929217,Inner Melbourne,205,"https://www.google.com/maps/place/Kensington+VIC+3031/@-37.7948816,144.9166321,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d0e81dca47d:0x5045675218ce770!8m2!3d-37.791!4d144.931"
